fecha,producto,peso,precio
2025-07-31 10:54:12.179000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-08-01 10:54:11.691000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-02 10:54:11.697000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-03 10:54:11.633000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-04 10:54:11.595000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-05 10:54:11.759000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-06 10:54:11.611000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-07 10:54:11.880000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-08 10:54:12.418000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-09 10:54:11.626000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-10 10:54:11.662000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-11 10:54:11.563000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-12 10:54:11.964000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-13 10:54:12.466000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-14 10:54:16.300000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-15 10:54:12.001000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-16 10:54:11.990000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-17 10:54:11.895000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-08-18 10:54:11.891000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-19 12:57:38.668000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-20 10:54:12.957000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-21 10:54:12.430000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-22 10:54:11.666000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-23 10:54:11.639000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-24 10:54:11.934000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-08-26 10:54:13.274000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-27 10:54:13.805000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-28 10:54:12.707000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-29 10:54:11.890000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-30 10:54:12.347000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-31 10:54:12.380000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-09-01 10:54:12.415000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-09-02 10:54:12.455000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-09-03 10:54:11.460000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-04 10:54:11.219000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-05 10:54:11.228000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-06 10:54:20.427000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-07 10:54:11.399000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-09-08 10:54:11.620000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-09-09 10:54:11.676000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-10 10:54:11.627000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-11 10:54:11.212000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-09-12 10:54:12.267000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-13 10:54:11.980000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-14 10:54:12.003000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-15 10:54:12.536000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-16 10:54:10.779000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-09-17 10:54:14.702000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-22 10:54:13.793000,EVOWHEY PROTEIN,2Kg,"31,96€"
2025-09-23 10:54:12.549000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-09-24 10:54:12.938000,EVOWHEY PROTEIN,2Kg,"37,90€"
